Ticker,Name,Qty,Paid
,,,
ASX:ABY,Adore Beauty Group Ltd,3400,5.06
ASX:AWC,Alumina Limited,9700,1.7575
ASX:ANN,Ansell Limited,490,35.07
ASX:ALX,Atlas Arteria Group,2940,5.87
ASX:ANZ,Australia and New Zealand Banking GrpLtd,610,28.1797
ASX:BHP,BHP Group Ltd,370,46.72
ASX:BXB,Brambles Limited,1700,9.94
ASX:CSL,CSL Limited,68,252.53
ASX:DTC,Damstra Holdings Ltd,18200,0.95
ASX:MQG,Macquarie Group Ltd,115,148.23
ASX:NXL,Nuix Ltd,3150,5.5
ASX:SHL,Sonic Healthcare Limited,560,30.36
ASX:SYD,#N/A,2750,6.18
ASX:TYR,Tyro Payments Ltd,5450,3.168
ASX:WBC,Westpac Banking Corp,700,24.38